index,Location,PlotID,Name1,Name2,Set,Block,dby
0,16EF,16EF0006,Nieniefi1,PI525835,B,1,3.42628735534272
1,16FF,16FF0202,PRE0166,PI276829,C,9,3.52881818420472
2,16EF,16EF0522,No944,PI291089,B,2,3.5768612011572003
3,16FF,16FF0995,PRE1025,PI329915,C,12,4.49456094367632
4,16FF,16FF0406,IS_12084,PI330800,D,14,5.71711901734512
5,16FF,16FF0008,PRE0467,PI660611,A,1,6.162786353465281
6,16FF,16FF0817,IS_11228,PI329471,C,12,6.523304277425761
7,16FF,16FF0645,Mashila9,PI329905,C,11,6.7240694051784
8,16EF,16EF0794,PI452984,PI452984,B,4,6.992016637937761
9,16FF,16FF0778,MN_2365,PI156489,B,7,7.052168057536801
10,16FF,16FF0015,IS_11298,PI329546,B,5,7.37089246268496
11,16FF,16FF0690,No242,PI462095,B,7,7.8118726752
12,16FF,16FF0611,PRE0536,NSL50685,A,3,7.975140814111681
13,16FF,16FF0099,PRE0023,PI148084,CHK_STRP,1,8.72898652726848
14,16FF,16FF0804,R_423,PI329965,B,8,9.16254546074208
15,16FF,16FF0724,PRE0351,PI665105,B,7,9.403541732772
16,16FF,16FF0410,PRE0553,PI660566,C,10,9.596494987849441
17,16FF,16FF0776,PRE0987,PI330877,B,7,10.41947577418176
18,16FF,16FF0758,PRE0006,PI147837,D,15,10.66398738891552
19,16EF,16EF0448,IS_11321,PI329570,B,2,10.757534564201041
20,16FF,16FF0562,PRE0951,PI152856,D,15,10.98310238769744
21,16FF,16FF0415,IS_11260,PI329506,C,10,11.024114719242242
22,16FF,16FF0582,R_495A,PI330030A,D,15,11.59828736086944
23,16FF,16FF0896,PI453006,PI453006,B,8,11.614301699853602
24,16FF,16FF0986,PI453146,PI453146,B,8,12.197653291874161
25,16EF,16EF0166,PRE0023,PI148084,CHK_STRP,1,12.516963587472961
26,16FF,16FF0224,PRE0301,PI660564,D,13,12.55211701451136
27,16FF,16FF0111,PRE1069,NSL365694,C,9,12.61304962137792
28,16FF,16FF0421,PI452519,PI452519,B,6,13.412008899234001
29,16FF,16FF0988,PI452930,PI452930,B,8,13.502431325449441
30,16FF,16FF0888,IS_11378,PI329633,A,4,13.55125552966944
31,16FF,16FF0951,PRE0072,PI153844,B,8,13.794204769868161
32,16FF,16FF0021,PRE0342,PI562963,B,5,13.92739719898032
33,16FF,16FF0891,PRE0023,PI148084,CHK_STRP,4,14.668743915856801
34,16FF,16FF0326,IS_11234,PI329478,C,10,14.84255808288
