index,PlotID,Name1,Name2,LOC,Set,block,dby
0,17EF0001,CHK-F_PRE1441,PI524948,EF,Q3_CHK,1,31.231228116068582
1,17EF0080,IS_2958,PI267551,EF,Q3,1,NA
2,17EF0081,PI453241,PI453241,EF,Q3,1,25.61346906676695
3,17EF0160,PRE0830,NSL54779,EF,Q3,1,26.106755783562573
4,17EF0161,PRE1338,PI665155,EF,Q3,1,21.287233234558645
5,17EF0240,CHK-B_Sakoika2,PI525882,EF,Q3_CHK,1,19.81534417127676
6,17EF0241,Keninke_Niteli,PI526147,EF,Q3,2,25.72107209828829
7,17EF0320,PRE0012,PI147922,EF,Q3,2,NA
8,17EF0321,IS_11358,PI329613,EF,Q3,2,23.156438199576392
9,17EF0400,CHR-SPX,SPX,EF,Q3,2,35.35528367181273
10,17EF0401,Durra2,PI329787,EF,Q3,2,34.38114310438131
11,17EF0480,PRE0492,PI665154,EF,Q3,2,20.772365168140954
12,17EF0481,IS_11360,PI329615,EF,Q4,3,30.014616440418152
13,17EF0560,Siam_Beirade,PI282861,EF,Q4,3,30.16103092582308
14,17EF0561,R_484,PI330019,EF,Q4,3,24.152091814303052
15,17EF0640,CHK-D_PRE0146,PI276801,EF,Q4_CHK,3,28.34351887620243
16,17EF0641,REKA,PI569460,EF,Q4,3,23.350359285780094
17,17EF0720,TAPASOHIRA,PI563021,EF,Q4,3,24.535269212844362
18,17EF0721,IS_11590,PI329860,EF,Q4,4,29.64757927467684
19,17EF0800,IS_12207,PI330969,EF,Q4,4,28.250739281071503
20,17EF0801,GASSABI,PI569420,EF,Q4,4,25.621692470544573
21,17EF0880,PI453238,PI453238,EF,Q4,4,16.397128644992076
22,17EF0881,PI452808,PI452808,EF,Q4,4,13.860881331399801
23,17EF0960,PI452563,PI452563,EF,Q4,4,16.747880858329346
24,17EF0002,PRE0387,NSL54114,EF,Q3,1,18.227009827028276
25,17EF0079,PRE0566,PI660590,EF,Q3,1,24.49631628533688
26,17EF0082,PRE0021,PI147938,EF,Q3,1,15.702555587492725
27,17EF0159,PRE0322,PI660580,EF,Q3,1,21.638021521316222
28,17EF0162,PRE0339,PI570916,EF,Q3,1,NA
29,17EF0239,PRE0350,NSL51902,EF,Q3,1,NA
30,17EF0242,CHK-C_PRE0028,PI148089,EF,Q3_CHK,2,NA
31,17EF0319,PRE0380,NSL54162,EF,Q3,2,NA
32,17EF0322,PRE0240,PI660612,EF,Q3,2,27.27026620538595
33,17EF0399,PRE0422,PI665114,EF,Q3,2,26.795930027341683
34,17EF0402,PRE0987,PI330877,EF,Q3,2,NA
35,17EF0479,CHK-B_Sakoika2,PI525882,EF,Q3_CHK,2,23.74348034549463
36,17EF0482,PRE0342,PI562963,EF,Q4,3,NA
37,17EF0559,PRE0155,PI276816,EF,Q4,3,21.107066014109982
38,17EF0562,PRE0500,PI660618,EF,Q4,3,25.05375971016882
39,17EF0639,PRE0062,PI152730,EF,Q4,3,20.486568425027684
40,17EF0642,PRE0229,PI562715,EF,Q4,3,22.23122928772314
