index,PlotID,Name1,Name2,h1,h2,h3,h4,h5,h6,h7
0,16EF1043,961,PI291084,35.5,77.5,197.0,279.0,342.0,381.0,404.0
1,16FF0307,961,PI291084,37.0,78.0,162.5,243.0,297.0,361.0,407.0
2,16EF0376,4540,PI318910,35.5,45.0,156.5,232.0,299.0,335.0,415.0
3,16FF0098,4540,PI318910,34.5,61.5,120.5,270.0,315.0,363.0,401.0
4,16EF0348,6911,PI266061,22.0,58.0,106.5,172.0,254.0,262.0,297.0
5,16FF0777,6911,PI266061,21.0,55.5,85.5,175.0,208.0,279.0,294.0
6,16EF0513,7035S,PI552851,34.5,80.0,233.5,295.0,341.0,356.0,61.0
7,16FF0040,7035S,PI552851,33.5,90.5,129.0,233.5,296.0,337.0,391.0
8,16EF0205,A/7,PI573193,26.0,48.5,109.5,184.0,219.0,300.0,381.0
9,16FF0873,A/7,PI573193,18.5,44.5,63.5,139.0,160.0,216.0,272.0
10,16EF0147,Achirie,PI329662,30.5,46.5,111.5,191.0,209.0,257.0,205.0
11,16FF0352,Achirie,PI329662,30.0,45.5,82.0,183.0,234.0,304.0,350.0
12,16EF0811,Adjito,PI506073,26.5,74.0,161.5,221.0,278.0,314.0,395.0
13,16FF0657,Adjito,PI506073,22.0,52.0,81.5,166.0,243.0,316.0,364.0
14,16EF0094,AKWANE,PI569462,27.0,70.0,134.5,199.0,264.0,262.0,333.0
15,16FF0193,AKWANE,PI569462,32.5,72.5,104.0,182.0,193.0,267.0,292.0
16,16EF0965,Amo_Koire,PI513896,25.0,56.5,164.0,238.0,317.0,370.0,374.0
17,16FF0249,Amo_Koire,PI513896,35.5,66.0,127.0,284.0,324.0,331.0,392.0
18,16EF0188,Andiwo,PI521019,32.75,77.0,185.0,267.0,345.0,369.0,377.0
19,16FF0922,Andiwo,PI521019,39.0,67.0,138.5,211.0,282.0,346.0,375.0
20,16EF0964,Andiwo1,PI521018,36.5,60.0,193.5,238.0,345.0,368.0,379.0
21,16FF0248,Andiwo1,PI521018,32.0,82.0,134.0,300.0,343.0,425.0,419.0
22,16EF0439,Andiwo2,PI521025,40.0,58.5,174.5,261.0,331.0,320.0,389.0
23,16FF0901,Andiwo2,PI521025,33.0,66.5,123.0,234.0,303.0,372.0,402.0
24,16EF0281,Andiwo3,PI521043,33.0,82.5,186.5,260.0,305.0,359.0,445.0
25,16FF0138,Andiwo3,PI521043,32.5,69.0,139.5,217.0,289.0,345.0,393.0
26,16EF0689,Andiwo5,PI521159,27.0,65.0,176.5,251.0,318.0,360.0,396.0
27,16FF0842,Andiwo5,PI521159,27.0,57.5,147.0,229.0,302.0,367.0,413.0
28,16EF0830,AP79-714,PI510757,30.0,56.5,147.0,226.0,255.0,317.0,334.0
29,16FF0376,AP79-714,PI510757,30.5,54.0,120.0,206.66666669999998,257.0,286.0,278.0
30,16EF0566,BAHONGER-UKILIR,PI570388,38.5,90.0,206.0,255.0,365.0,422.0,408.0
31,16FF0732,BAHONGER-UKILIR,PI570388,29.0,57.5,153.0,263.0,356.0,394.0,412.0
32,16EF0879,Bassi,PI514549,22.5,61.5,181.0,275.0,320.0,375.0,377.0
33,16FF0600,Bassi,PI514549,20.0,75.5,117.0,251.0,301.0,354.0,368.0
34,16EF0401,Bassi_Gaoya,PI514344,18.5,58.0,157.5,256.0,326.0,341.0,410.0
35,16FF0939,Bassi_Gaoya,PI514344,20.0,45.0,114.0,202.0,273.0,334.0,359.0
36,16EF0338,Bassi_Kaba,PI514345,26.0,73.0,198.5,279.0,321.0,366.0,427.0
37,16FF0483,Bassi_Kaba,PI514345,21.0,53.5,127.5,228.0,282.0,333.0,406.0
38,16EF0087,Bayeri,PI514427,34.5,70.5,197.5,273.0,341.0,327.0,437.0
39,16FF0805,Bayeri,PI514427,25.0,61.0,122.0,233.0,307.0,336.0,376.0
40,16EF0546,Belko,PI506013,26.5,65.0,158.5,226.0,287.0,326.0,340.0
41,16FF0830,Belko,PI506013,23.5,49.5,111.0,193.5,256.0,320.0,377.0
42,16EF0210,Bimbiri_Ba,PI525822,17.5,50.0,163.0,275.0,329.0,347.0,404.0
43,16EF0224,Bimbiri_Ba,PI525931,19.5,58.5,165.0,278.0,311.0,336.0,416.0
44,16FF0239,Bimbiri_Ba,PI525822,33.0,58.5,153.0,268.5,308.0,358.0,408.0
45,16FF0585,Bimbiri_Ba,PI525931,18.0,38.5,97.5,182.5,216.0,292.0,338.0
46,16EF0073,Bimbiri_Sara,PI525919,26.5,72.5,195.5,268.0,320.0,350.0,408.0
47,16FF0223,Bimbiri_Sara,PI525919,30.0,58.5,127.0,251.0,285.0,360.0,393.0
48,16EF0634,Bishehe,PI521290,25.5,75.5,219.0,289.0,349.0,383.0,431.0
49,16FF0831,Bishehe,PI521290,26.5,62.5,146.5,228.0,280.0,338.0,422.0
50,16EF0855,BOBAKPIPA,PI585956,31.5,50.5,132.5,206.0,255.0,290.0,320.0
51,16FF0532,BOBAKPIPA,PI585956,19.0,44.5,85.0,181.0,201.0,257.0,295.0
52,16EF0120,Boure,PI514139,23.5,58.5,128.0,194.0,280.0,297.0,368.0
53,16FF0887,Boure,PI514139,24.0,46.0,69.0,170.0,184.0,243.0,302.0
54,16EF0864,Bouwoubou,PI514220,28.5,66.5,172.0,270.0,330.0,352.0,397.0
55,16FF0752,Bouwoubou,PI514220,23.5,57.0,106.5,202.5,243.0,319.0,369.0
56,16EF0418,CHEDOMBA,PI156268,34.0,63.5,213.0,299.0,347.0,396.0,418.0
57,16FF0086,CHEDOMBA,PI156268,38.5,67.0,164.5,294.0,357.0,413.0,436.0
58,16EF1032,CHIMPAMBA,PI156326,26.5,47.5,141.5,225.0,256.0,293.0,375.0
59,16FF0968,CHIMPAMBA,PI156326,14.0,27.5,87.5,188.0,206.0,297.0,308.0
60,16EF0751,Co._1,PI266927,30.0,59.5,189.0,272.0,343.0,388.0,375.0
61,16FF0329,Co._1,PI266927,34.0,62.0,161.0,267.0,327.0,346.0,414.0
62,16EF0329,Coulho,PI481843,29.0,62.5,187.0,273.0,288.0,338.0,395.0
63,16FF0257,Coulho,PI481843,29.5,57.5,124.5,271.0,294.0,350.0,390.0
