,id_gbs,race
104,PI585406,Guinea
126,PI585433,Guinea-kafir
143,PI585454,Guinea
156,PI585467,Guinea
221,PI585540,Durra-bicolor
229,PI585549,Durra-bicolor
239,PI585561,Caudatum
282,PI585608,Caudatum
863,PI585948,Guinea
866,PI585951,Guinea
871,PI585956,Guinea
876,PI585961,Guinea
881,PI585966,Guinea
934,PI586022,Guinea
1477,PI586792,Caudatum
1521,PI147837,Kafir-durra
1522,PI147838,Kafir-bicolor
1537,PI148093,Durra
1541,PI148108,Mixed
1547,PI152591,Caudatum
1548,PI152593,Bicolor
1549,PI152594,Bicolor
1550,PI152594,Kafir-bicolor
1552,PI152611,Caudatum
1562,PI152636,Caudatum
1565,PI152654,Durra
1570,PI152702,Caudatum
1572,PI152705,Caudatum
1580,PI152727,Guinea-bicolor
1581,PI152728,Durra
1582,PI152730,Caudatum-bicolor
1583,PI152731,Caudatum
1584,PI152733,Caudatum
1592,PI152748,Guinea
1603,PI152856,Guinea-caudatum
1715,PI156034,Guinea-caudatum
1727,PI156217,Caudatum
1732,PI156248,Caudatum
1736,PI156268,Durra
1741,PI156326,Caudatum
1756,PI156393,Caudatum
1772,PI156463,Caudatum
1780,PI156489,Caudatum
1789,PI156510,Durra-caudatum
1989,PI196049,Durra
2250,PI221624,Guinea
2251,PI221625,Guinea
2261,PI221651,Guinea
2265,PI221657,Guinea
2269,PI221662,Guinea
2424,PI248317,Kafir-caudatum
2425,PI248318,Kafir-caudatum
2533,PI266061,Caudatum
2598,PI267364,Kafir
2733,PI267551,Durra-bicolor
2742,PI267580,Durra-bicolor
2745,PI267592,Guinea-caudatum
2754,PI267614,Kafir-caudatum
2764,PI267629,Durra
2766,PI267633,Durra-bicolor
2776,PI267643,Kafir-caudatum
2780,PI267650,Durra-bicolor
2784,PI271233,Caudatum-bicolor
2786,PI271236,Guinea
2813,PI276770,Durra-bicolor
2815,PI276773,Kafir-caudatum
2817,PI276776,Durra-bicolor
2822,PI276781,Durra-bicolor
2824,PI276784,Kafir-caudatum
2825,PI276785,Durra-bicolor
2827,PI276787,Durra-bicolor
2828,PI276788,Durra
2829,PI276789,Durra-bicolor
2830,PI276790,Durra-bicolor
2832,PI276792,Durra-bicolor
2838,PI276800,Durra-bicolor
2839,PI276801,Caudatum
2840,PI276803,Durra-bicolor
2841,PI276806,Kafir-caudatum
2851,PI276818,Kafir-caudatum
2853,PI276820,Durra
2855,PI276823,Kafir-caudatum
2859,PI276828,Kafir-bicolor
2860,PI276829,Kafir
2861,PI276830,Kafir
2872,PI276844,Caudatum
2881,PI276856,Durra-bicolor
2905,PI282857,Guinea
2909,PI282861,Guinea-kafir
2910,PI282862,Bicolor
2915,PI282868,Durra
2917,PI282871,Durra
2953,PI285039,Caudatum
2955,PI285041,Durra
2957,PI285043,Guinea-caudatum
3080,PI591377,Guinea
3125,PI291081,Durra-bicolor
3128,PI291084,Durra-caudatum
3131,PI291089,Durra
3148,PI291239,Kafir-bicolor
3149,PI291240,Durra
3184,PI297117,Guinea-caudatum
3195,PI297128,Caudatum
3230,PI297171,Caudatum
3279,PI452511,Durra
3286,PI452519,Durra
3291,PI452525,Durra
3295,PI452529,Durra-caudatum
3299,PI452533,Kafir-durra
