ID,Batch,Country,Country_group,Race,Type,Dup,Depth
PI562730,mo,United States,America,Bicolor,Sweet,0,11.00
PI521281,mo,Kenya,East Africa,Bicolor,Cellulosic,0,17.92
PI156018,mo,Zaire,NA,Bicolor,Cellulosic,0,18.72
PI562717,mo,United States,America,Bicolor,Cellulosic,0,22.01
PI563032,mo,Japan,NA,Bicolor,Sweet,0,23.21
PI660645,P4,Sudan,East Africa,Caudatum,NA,0,3.87
PI665159,P4,Senegal,West Africa,Caudatum,NA,0,4.33
PI152730,P4,Sudan,East Africa,Caudatum,NA,0,4.44
PI665144,P1,India,India,Caudatum,NA,0,4.51
PI660571,P4,India,India,Caudatum,NA,0,5.69
NSL51963,P4,Nigeria,West Africa,Caudatum,NA,0,6.03
PI257600,mo,Ethiopia,Ethiopia,Caudatum,Sweet,0,6.07
PI570712,P4,Sudan,East Africa,Caudatum,NA,0,6.68
PI525059,P2,Malawi,East Africa,Caudatum,NA,0,7.42
PI570928,P2,Sudan,East Africa,Caudatum,NA,0,7.57
PI149831,P4,Ethiopia,Ethiopia,Caudatum,NA,0,7.74
PI665117,P2,Tanzania,East Africa,Caudatum,NA,0,8.11
PI665098,P2,Uganda,East Africa,Caudatum,NA,0,8.31
PI660580,P3,Tanzania,East Africa,Caudatum,NA,0,8.34
PI665097,P3,Ethiopia,Ethiopia,Caudatum,NA,0,8.62
PI665112,P4,Japan,NA,Caudatum,NA,0,9.53
PI152702,P4,Sudan,East Africa,Caudatum,NA,0,10.15
NSL51902,P4,Nigeria,West Africa,Caudatum,NA,0,10.24
PI297117,P2,Uganda,East Africa,Caudatum,NA,0,10.42
NSL51969,P4,Nigeria,West Africa,Caudatum,NA,0,10.52
PI152636,P1,Sudan,East Africa,Caudatum,NA,0,10.56
PI586792,P3,Sudan,East Africa,Caudatum,NA,0,10.67
PI665160,P4,Nigeria,West Africa,Caudatum,NA,0,11.07
PI153860,P2,Kenya,East Africa,Caudatum,NA,0,11.10
NSL54297,P4,Tanzania,East Africa,Caudatum,NA,0,11.36
PI152748,P1,Sudan,East Africa,Caudatum,NA,0,11.55
PI505735,mo,Zambia,NA,Caudatum,Sweet,0,12.00
PI570916,P3,Sudan,East Africa,Caudatum,NA,0,12.16
PI660640,P3,Sudan,East Africa,Caudatum,NA,0,12.32
PI153844,P3,Kenya,East Africa,Caudatum,NA,0,12.73
PI152705,P3,Sudan,East Africa,Caudatum,NA,0,12.79
PI665114,P4,Uganda,East Africa,Caudatum,NA,0,12.92
PI365512,mo,South Africa,South Africa,Caudatum,Cellulosic,0,13.14
PI153824,P2,Kenya,East Africa,Caudatum,NA,0,13.31
PI660587,P3,Nigeria,West Africa,Caudatum,NA,0,13.37
PI285039,P2,Nigeria,West Africa,Caudatum,NA,0,13.46
