"","id_gbs","trait","dap","y_hat"
"1","PI329286","drymass","NA",1.52185827439488
"2","PI329327","drymass","NA",1.98826349516298
"3","PI276829","drymass","NA",2.66491412123905
"4","PI147939","drymass","NA",2.67513755610103
"5","PI329351","drymass","NA",2.69339669981115
"6","PI267629","drymass","NA",2.69364290578508
"7","PI267551","drymass","NA",2.74306076123905
"8","PI452928","drymass","NA",2.97022212076242
"9","PI452984","drymass","NA",3.00066589668569
"10","PI147922","drymass","NA",3.35550565668568
"11","PI329890","drymass","NA",3.38903474578507
"12","PI329367","drymass","NA",3.50109225781681
"13","PI291089","drymass","NA",3.51367264046285
"14","PI156248","drymass","NA",3.5966917321503
"15","PI452874","drymass","NA",3.80754370101511
"16","PI337680","drymass","NA",3.81958628107065
"17","PI496311","drymass","NA",4.02647513665585
"18","PI153859","drymass","NA",4.17955688668896
"19","PI148086","drymass","NA",4.20528833768413
"20","NSL55842","drymass","NA",4.22884050633519
"21","NSL50685","drymass","NA",4.68650176645218
"22","PI452625","drymass","NA",4.69314806209088
"23","PI571022","drymass","NA",4.79401504884846
"24","NSL50499","drymass","NA",4.97111461674974
"25","PI585608","drymass","NA",4.97541797981116
"26","PI329915","drymass","NA",5.24800175569724
"27","PI267643","drymass","NA",5.41167520075421
"28","PI329905","drymass","NA",5.48372162443814
"29","PI452789","drymass","NA",5.51865264609526
"30","PI329541","drymass","NA",5.62504242559213
"31","PI453121","drymass","NA",5.63605497781681
"32","PI147938","drymass","NA",5.68051015122496
"33","PI329570","drymass","NA",5.73827320854463
"34","PI527676","drymass","NA",5.76568262768129
"35","PI330204","drymass","NA",5.83446426369909
"36","PI453494","drymass","NA",5.83789082578507
"37","PI152736B","drymass","NA",5.8553287429845
"38","PI329965","drymass","NA",5.96682124421044
"39","PI151198","drymass","NA",6.02512696815266
"40","PI660630","drymass","NA",6.02736226941836
"41","PI329550","drymass","NA",6.03021693891277
"42","PI453288","drymass","NA",6.03861520310001
"43","PI329278","drymass","NA",6.08133446183297
"44","NSL365694","drymass","NA",6.15246520989741
"45","PI452533","drymass","NA",6.17301389717264
"46","PI330800","drymass","NA",6.2294148343617
"47","PI329624","drymass","NA",6.23666542551139
"48","PI660588","drymass","NA",6.23762369768412
"49","PI585561","drymass","NA",6.34391028968373
"50","PI291084","drymass","NA",6.34452360016853
"51","PI569264","drymass","NA",6.35496921781681
"52","PI453395","drymass","NA",6.41773976427782
